Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
540.00,1,1.500000,-0.000000,0.055000,0.498286,-0.030119,-0.042840,-295.370849,19.148166,0.000000,0.000000
1539.00,1,1.500000,0.002311,0.053185,0.499954,-0.000814,-0.001158,-7.981578,19.045621,-143.906250,0.000000
2538.00,1,1.500000,0.004753,0.054394,0.501246,0.021909,0.031161,214.851058,19.038297,-143.906250,0.000000
3537.00,1,1.500000,0.007195,0.053068,0.502335,0.041040,0.058373,402.464447,19.045621,-141.906250,0.000000
4536.00,1,1.500000,0.009636,0.053634,0.503313,0.058225,0.082815,570.988769,19.036832,-143.906250,0.000000
5535.00,1,1.500000,0.012078,0.053595,0.504107,0.072193,0.102683,707.971923,19.036832,-143.906250,0.000000
6534.00,1,1.500000,0.014519,0.053548,0.504877,0.085728,0.121933,840.701660,19.035367,-143.906250,0.000000
7533.00,1,1.500000,0.016961,0.054519,0.505369,0.094374,0.134231,925.492919,19.038297,-143.906250,0.000000
8532.00,1,1.500000,0.019402,0.053822,0.505801,0.101957,0.145017,999.856079,19.045621,-143.906250,0.000000
9531.00,1,1.500000,0.021844,0.053652,0.506153,0.108148,0.153822,1060.565063,19.050016,-141.906250,0.000000
10530.00,1,1.500000,0.024285,0.054810,0.506353,0.111665,0.158824,1095.054931,19.039762,-141.906250,0.000000
11529.00,1,1.500000,0.026727,0.053519,0.506628,0.116493,0.165692,1142.407714,19.050016,-143.906250,0.000000
12528.00,1,1.500000,0.029168,0.054925,0.506738,0.118424,0.168438,1161.342651,19.055875,-143.906250,0.000000
13527.00,1,1.500000,0.031610,0.054663,0.506780,0.119168,0.169496,1168.637207,19.051481,-143.906250,0.000000
14526.00,1,1.500000,0.034052,0.054154,0.506919,0.121606,0.172964,1192.544799,19.048551,-143.906250,0.000000
15525.00,1,1.500000,0.036494,0.055000,0.506921,0.121649,0.173025,1192.966064,19.036832,-143.906250,0.000000
16524.00,1,1.500000,0.038936,0.053382,0.507091,0.124628,0.177263,1222.185302,19.050016,-143.906250,0.000000
17523.00,1,1.500000,0.041378,0.053704,0.507250,0.127428,0.181245,1249.637329,19.047086,-141.906250,0.000000
18522.00,1,1.500000,0.043819,0.054578,0.507420,0.130421,0.185502,1278.990234,19.036832,-143.906250,0.000000
19521.00,1,1.500000,0.046261,0.053790,0.507541,0.132555,0.188537,1299.918334,19.052946,-141.906250,0.000000
20520.00,1,1.500000,0.048703,0.054079,0.507588,0.133366,0.189691,1307.870361,19.048551,-141.906250,0.000000
21519.00,1,1.500000,0.051144,0.054349,0.507573,0.133105,0.189319,1305.312133,19.051481,-143.906250,0.000000
22518.00,1,1.500000,0.052076,0.053582,0.507767,0.136515,0.194170,1338.754028,19.115938,-141.906250,0.000000
23517.00,1,1.500000,0.052076,0.054414,0.507792,0.136959,0.194802,1343.110229,19.120332,-141.906250,0.000000
24516.00,1,1.500000,0.052076,0.054672,0.507736,0.135968,0.193392,1333.390991,19.108613,-143.906250,0.000000
25515.00,1,1.500000,0.052076,0.054658,0.507690,0.135166,0.192251,1325.521118,19.113008,-141.906250,0.000000
26514.00,1,1.500000,0.052076,0.055000,0.507672,0.134852,0.191805,1322.449218,19.101289,-141.906250,0.000000
27513.00,1,1.500000,0.052076,0.054390,0.507716,0.135614,0.192888,1329.918334,19.113008,-141.906250,0.000000
28513.00,1,1.500000,0.052076,0.054623,0.507575,0.133140,0.189370,1305.661499,19.115938,-141.906250,0.000000
29512.00,1,1.500000,0.052076,0.053842,0.507716,0.135625,0.192905,1330.031372,19.105684,-141.906250,0.000000
30511.00,1,1.500000,0.052076,0.054387,0.507702,0.135371,0.192543,1327.534790,19.113008,-141.906250,0.000000
31510.00,1,1.500000,0.052076,0.055000,0.507627,0.134054,0.190670,1314.620361,19.105684,-141.906250,0.000000
32509.00,1,1.500000,0.052076,0.054898,0.507574,0.133132,0.189358,1305.579223,19.108613,-139.906250,0.000000
33508.00,1,1.500000,0.052076,0.054612,0.507535,0.132433,0.188364,1298.726562,19.105684,-141.906250,0.000000
34507.00,1,1.500000,0.052076,0.054617,0.507552,0.132737,0.188796,1301.705932,19.098360,-141.906250,0.000000
35506.00,1,1.500000,0.052076,0.054369,0.507643,0.134335,0.191069,1317.373779,19.120332,-141.906250,0.000000
36505.00,1,1.500000,0.052076,0.054658,0.507689,0.135146,0.192222,1325.325927,19.117403,-141.906250,0.000000
37503.00,1,1.500000,0.052076,0.054150,0.507831,0.137637,0.195766,1349.757446,18.784864,-141.906250,0.000000
