Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
400.00,1,3.500000,0.000112,0.028942,0.581513,1.432732,16.737823,115403.273437,23.247051,22.890625,0.000000
899.00,1,3.500000,0.000112,0.028942,0.581513,1.432732,16.737823,115403.273437,23.247051,22.890625,0.000000
1398.00,1,3.500000,0.000112,0.045366,0.514767,0.259554,15.069172,103898.328125,23.285139,22.890625,0.000000
1897.00,1,3.500000,0.000112,0.045366,0.514767,0.259554,15.069172,103898.328125,23.285139,22.890625,0.000000
2396.00,1,3.500000,0.001076,0.045501,0.514218,0.249898,15.055439,103803.632812,23.118135,22.890625,0.000000
2895.00,1,3.500000,0.001076,0.045501,0.514218,0.249898,15.055439,103803.632812,23.118135,22.890625,0.000000
3394.00,1,3.500000,0.002425,0.045434,0.513668,0.240242,15.041706,103708.945312,23.093233,22.890625,0.000000
3893.00,1,3.500000,0.002425,0.045637,0.513668,0.240242,15.041706,103708.945312,23.093233,22.890625,0.000000
4392.00,1,3.500000,0.003041,0.045299,0.515042,0.264382,15.076040,103945.671875,23.091768,22.890625,0.000000
4891.00,1,3.500000,0.003041,0.045299,0.515042,0.264382,15.076040,103945.671875,23.091768,22.890625,0.000000
5390.00,1,3.500000,0.004039,0.045501,0.514218,0.249898,15.055439,103803.632812,23.085906,22.898437,0.000000
5889.00,1,3.500000,0.004039,0.045501,0.514218,0.249898,15.055439,103803.632812,23.085906,22.898437,0.000000
6388.00,1,3.500000,0.005039,0.045704,0.513394,0.235415,15.034838,103661.601562,23.080047,22.890625,0.000000
6887.00,1,3.500000,0.005039,0.045704,0.513394,0.235415,15.034838,103661.601562,23.080047,22.890625,0.000000
7386.00,1,3.500000,0.006042,0.045569,0.513943,0.245070,15.048572,103756.289062,23.075653,22.890625,0.000000
7885.00,1,3.500000,0.006042,0.045569,0.513943,0.245070,15.048572,103756.289062,23.075653,22.890625,0.000000
