Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
0.00,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
540.00,1,1.500000,-0.000000,0.055000,0.500484,0.078811,14.812096,102125.843750,23.995630,-95.914062,0.000000
1539.00,1,1.500000,0.002312,0.055000,0.501857,0.102950,14.846429,102362.562500,23.106416,-95.914062,0.000000
2538.00,1,1.500000,0.004753,0.055000,0.502407,0.112606,14.860164,102457.265625,22.990686,-93.914062,0.000000
3537.00,1,1.500000,0.007195,0.055000,0.502407,0.112606,14.860164,102457.265625,22.954063,-93.914062,0.000000
4536.00,1,1.500000,0.009636,0.055000,0.502681,0.117434,14.867031,102504.601562,23.312973,-93.914062,0.000000
5535.00,1,1.500000,0.012078,0.055000,0.502407,0.112606,14.860164,102457.265625,23.283674,-93.914062,0.000000
6534.00,1,1.500000,0.014519,0.055000,0.502681,0.117434,14.867031,102504.601562,23.186988,-93.914062,0.000000
7533.00,1,1.500000,0.016961,0.055000,0.503231,0.127090,14.880764,102599.296875,23.172338,-89.914062,0.000000
8531.00,1,1.500000,0.019402,0.055000,0.505428,0.165713,14.935700,102978.062500,23.071258,-89.914062,0.000000
9530.00,1,1.500000,0.021843,0.055000,0.504329,0.146401,14.908232,102788.679687,23.100557,-89.914062,0.000000
10529.00,1,1.500000,0.024285,0.055000,0.506801,0.189852,14.970033,103214.781250,23.182592,-87.914062,0.000000
11528.00,1,1.500000,0.025065,0.039618,0.524106,0.494009,15.402647,106197.546875,22.924764,-89.914062,0.000000
12527.00,1,1.500000,0.025623,0.033027,0.533719,0.662986,15.642988,107854.640625,22.971643,-89.914062,0.000000
13526.00,1,1.500000,0.027642,0.032863,0.538389,0.745061,15.759725,108659.515625,23.018520,-87.914062,0.000000
14525.00,1,1.500000,0.030084,0.055000,0.540037,0.774027,15.800925,108943.578125,23.113740,-89.914062,0.000000
15524.00,1,1.500000,0.030875,0.055000,0.542509,0.817479,15.862728,109369.695312,23.109346,-89.914062,0.000000
16523.00,1,1.500000,0.032895,0.043657,0.544706,0.856101,15.917662,109748.453125,23.151828,-89.914062,0.000000
17522.00,1,1.500000,0.035336,0.038490,0.548003,0.914037,16.000064,110316.609375,23.163549,-91.914062,0.000000
18521.00,1,1.500000,0.037386,0.033118,0.551573,0.976799,16.089334,110932.101562,23.636722,-93.914062,0.000000
19520.00,1,1.500000,0.036736,0.025352,0.554320,1.025078,16.158002,111405.554687,23.191383,-93.914062,0.000000
20519.00,1,1.500000,0.036358,0.026281,0.557342,1.078184,16.233537,111926.343750,23.175268,-95.914062,0.000000
21518.00,1,1.500000,0.034339,0.014170,0.562011,1.160259,16.350275,112731.218750,23.109346,-97.914062,0.000000
22517.00,1,1.500000,0.031898,0.014296,0.566131,1.232677,16.453277,113441.398437,23.106416,-97.914062,0.000000
23516.00,1,1.500000,0.029457,0.011248,0.570526,1.309924,16.563148,114198.937500,23.125461,-101.914062,0.000000
24515.00,1,1.500000,0.028635,0.019606,0.571350,1.324407,16.583747,114340.960937,23.178197,-101.914062,0.000000
25514.00,1,1.500000,0.026615,0.031560,0.575470,1.396826,16.686752,115051.156250,23.121067,-105.914062,0.000000
26514.00,1,1.500000,0.027167,0.030418,0.577118,1.425793,16.727952,115335.218750,23.147434,-105.914062,0.000000
27513.00,1,1.500000,0.027524,0.009921,0.580964,1.493383,16.824089,115998.054687,23.145969,-107.914062,0.000000
28512.00,1,1.500000,0.026724,0.021013,0.582062,1.512696,16.851558,116187.453125,23.170873,-109.914062,0.000000
29511.00,1,1.500000,0.024704,0.032100,0.583161,1.532007,16.879024,116376.820312,23.106416,-111.914062,0.000000
30510.00,1,1.500000,0.025082,0.027769,0.585084,1.565803,16.927093,116708.250000,23.118135,-113.914062,0.000000
31509.00,1,1.500000,0.025623,0.035878,0.586182,1.585114,16.954561,116897.632812,23.131320,-115.914062,0.000000
32508.00,1,1.500000,0.025992,0.035278,0.587006,1.599597,16.975160,117039.656250,23.135715,-115.914062,0.000000
33507.00,1,1.500000,0.026360,0.018877,0.589204,1.638219,17.030094,117418.414062,23.131320,-117.914062,0.000000
34506.00,1,1.500000,0.025570,0.022011,0.588929,1.633392,17.023227,117371.070312,23.178197,-119.914062,0.000000
35505.00,1,1.500000,0.025024,0.018438,0.589753,1.647876,17.043828,117513.109375,23.179662,-123.914062,0.000000
36504.00,1,1.500000,0.024646,0.043107,0.588380,1.623737,17.009494,117276.382812,23.176733,-123.914062,0.000000
37503.00,1,1.500000,0.027087,0.006520,0.589753,1.647876,17.043828,117513.109375,23.178197,-125.914062,0.000000
38502.00,1,1.500000,0.026709,0.019911,0.587556,1.609252,16.988893,117134.343750,23.176733,-127.914062,0.000000
39501.00,1,1.500000,0.026350,0.026211,0.587006,1.599597,16.975160,117039.656250,23.192848,-127.914062,0.000000
40500.00,1,1.500000,0.027024,0.029934,0.585908,1.580285,16.947692,116850.273437,23.173803,-129.914062,0.000000
41499.00,1,1.500000,0.029466,0.030500,0.585084,1.565803,16.927093,116708.250000,23.156225,-131.914062,0.000000
42498.00,1,1.500000,0.031407,0.034617,0.583436,1.536834,16.885890,116424.164062,23.163549,-131.914062,0.000000
43497.00,1,1.500000,0.033849,0.026101,0.582886,1.527179,16.872158,116329.476562,23.170873,-133.914062,0.000000
44496.00,1,1.500000,0.033295,0.026678,0.582062,1.512696,16.851558,116187.453125,23.181127,-133.914062,0.000000
45495.00,1,1.500000,0.031276,0.025901,0.583161,1.532007,16.879024,116376.820312,23.091768,-133.914062,0.000000
46494.00,1,1.500000,0.028834,0.031245,0.583985,1.546490,16.899623,116518.851562,23.094697,-135.914062,0.000000
47493.00,1,1.500000,0.030854,0.019567,0.583710,1.541662,16.892757,116471.507812,23.169408,-135.914062,0.000000
48492.00,1,1.500000,0.030474,0.025492,0.583710,1.541662,16.892757,116471.507812,23.182592,-139.914062,0.000000
49491.00,1,1.500000,0.028455,0.040120,0.583985,1.546490,16.899623,116518.851562,23.109346,-139.914062,0.000000
50490.00,1,1.500000,0.028823,0.023340,0.586732,1.594770,16.968294,116992.312500,23.121067,-139.914062,0.000000
51489.00,1,1.500000,0.028032,0.013649,0.587830,1.614080,16.995759,117181.687500,23.178197,-141.914062,0.000000
52488.00,1,1.500000,0.027664,0.019560,0.587830,1.614080,16.995759,117181.687500,23.163549,-141.914062,0.000000
53487.00,1,1.500000,0.027295,0.031596,0.587556,1.609252,16.988893,117134.343750,23.178197,-143.914062,0.000000
54486.00,1,1.500000,0.029737,0.031962,0.587006,1.599597,16.975160,117039.656250,23.140110,-145.914062,0.000000
55485.00,1,1.500000,0.030517,0.019304,0.588105,1.618908,17.002626,117229.031250,23.100557,-147.914062,0.000000
56484.00,1,1.500000,0.029715,0.015927,0.588654,1.628564,17.016361,117323.726562,23.153295,-147.914062,0.000000
57483.00,1,1.500000,0.027697,0.037053,0.588105,1.618908,17.002626,117229.031250,23.077117,-149.914062,0.000000
58482.00,1,1.500000,0.028255,0.015103,0.589753,1.647876,17.043828,117513.109375,23.102022,-149.914062,0.000000
59481.00,1,1.500000,0.027465,0.000000,0.590302,1.657531,17.057561,117607.796875,23.147434,-151.914062,0.000000
60480.00,1,1.500000,0.025445,0.032458,0.590302,1.657531,17.057561,117607.796875,23.072723,-151.914062,0.000000
61479.00,1,1.500000,0.025814,0.023139,0.590852,1.667189,17.071298,117702.507812,23.097627,-151.914062,0.000000
62478.00,1,1.500000,0.025023,0.026849,0.589753,1.647876,17.043828,117513.109375,23.119600,-155.914062,0.000000
63477.00,1,1.500000,0.027465,0.011214,0.590852,1.667189,17.071298,117702.507812,23.121067,-153.914062,0.000000
64476.00,1,1.500000,0.027086,0.032915,0.589479,1.643048,17.036962,117465.765625,23.132785,-155.914062,0.000000
65475.00,1,1.500000,0.027866,0.029921,0.589479,1.643048,17.036962,117465.765625,23.078582,-157.914062,0.000000
66474.00,1,1.500000,0.029886,0.036795,0.588105,1.618908,17.002626,117229.031250,23.116670,-157.914062,0.000000
67473.00,1,1.500000,0.030855,0.015233,0.589204,1.638219,17.030094,117418.414062,23.093233,-157.914062,0.000000
68472.00,1,1.500000,0.030065,0.021721,0.588380,1.623737,17.009494,117276.382812,23.122531,-159.914062,0.000000
69471.00,1,1.500000,0.029696,0.021698,0.588380,1.623737,17.009494,117276.382812,23.148899,-159.914062,0.000000
70470.00,1,1.500000,0.029328,0.019098,0.587830,1.614080,16.995759,117181.687500,23.144504,-161.914062,0.000000
71469.00,1,1.500000,0.028960,0.016306,0.587556,1.609252,16.988893,117134.343750,23.121067,-161.914062,0.000000
72468.00,1,1.500000,0.028414,0.022023,0.587830,1.614080,16.995759,117181.687500,23.143039,-161.914062,0.000000
73467.00,1,1.500000,0.026394,0.054819,0.587556,1.609252,16.988893,117134.343750,23.062469,-163.914062,0.000000
74466.00,1,1.500000,0.026762,0.017652,0.589753,1.647876,17.043828,117513.109375,23.087371,-163.914062,0.000000
75465.00,1,1.500000,0.025982,0.021560,0.588380,1.623737,17.009494,117276.382812,23.109346,-163.914062,0.000000
76464.00,1,1.500000,0.025440,0.034176,0.587281,1.604425,16.982027,117087.000000,23.115205,-163.914062,0.000000
77463.00,1,1.500000,0.027881,0.025258,0.587281,1.604425,16.982027,117087.000000,23.112276,-165.914062,0.000000
78462.00,1,1.500000,0.027486,0.028592,0.586732,1.594770,16.968294,116992.312500,23.123996,-165.914062,0.000000
79461.00,1,1.500000,0.029505,0.022835,0.586457,1.589942,16.961427,116944.976562,23.121067,-165.914062,0.000000
80460.00,1,1.500000,0.029136,0.023402,0.585633,1.575458,16.940826,116802.929687,23.132785,-167.914062,0.000000
81459.00,1,1.500000,0.028605,0.026548,0.585358,1.570630,16.933959,116755.585937,23.123996,-167.914062,0.000000
82458.00,1,1.500000,0.028238,0.033048,0.584534,1.556146,16.913358,116613.546875,23.116670,-167.914062,0.000000
83457.00,1,1.500000,0.030680,0.033618,0.583710,1.541662,16.892757,116471.507812,23.107881,-167.914062,0.000000
84456.00,1,1.500000,0.033121,0.024519,0.583985,1.546490,16.899623,116518.851562,23.104951,-169.914062,0.000000
85455.00,1,1.500000,0.032766,0.028447,0.582612,1.522351,16.865291,116282.140625,23.100557,-169.914062,0.000000
86454.00,1,1.500000,0.031411,0.021929,0.583436,1.536834,16.885890,116424.164062,23.547361,-171.914062,0.000000
87454.00,1,1.500000,0.029098,0.036558,0.583710,1.541662,16.892757,116471.507812,23.033170,-173.914062,0.000000
88453.00,1,1.500000,0.029464,0.020361,0.585633,1.575458,16.940826,116802.929687,23.068328,-171.914062,0.000000
89452.00,1,1.500000,0.027022,0.019184,0.587281,1.604425,16.982027,117087.000000,23.036100,-173.914062,0.000000
90451.00,1,1.500000,0.026058,0.006914,0.587830,1.614080,16.995759,117181.687500,23.102022,-173.914062,0.000000
91450.00,1,1.500000,0.025702,0.024884,0.587556,1.609252,16.988893,117134.343750,23.112276,-173.914062,0.000000
92449.00,1,1.500000,0.025791,0.012612,0.588105,1.618908,17.002626,117229.031250,23.118135,-175.914062,0.000000
