0Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
0400,1,1.000000,-0.000000,0.020979,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
0899,1,1.000000,-0.000000,0.020979,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
01398,1,1.000000,-0.000000,0.015752,0.514218,0.249898,15.055439,103803.632812,17.089937,0.000000,0.000000
01897,1,1.000000,0.000758,0.015752,0.514492,0.254726,15.062306,103850.984375,16.301801,0.000000,0.000000
02396,1,1.000000,0.000960,0.015752,0.514218,0.249898,15.055439,103803.632812,16.262249,110.820312,0.000000
02895,1,1.000000,0.000960,0.015752,0.514218,0.249898,15.055439,103803.632812,16.262249,110.820312,0.000000
03394,1,1.000000,0.001924,0.015752,0.514218,0.249898,15.055439,103803.632812,16.203651,110.804687,0.000000
03893,1,1.000000,0.001924,0.015752,0.514218,0.249898,15.055439,103803.632812,16.203651,110.804687,0.000000
04392,1,1.000000,0.002924,0.015854,0.513943,0.245070,15.048572,103756.289062,16.167028,110.796875,0.000000
04891,1,1.000000,0.002924,0.015854,0.513943,0.245070,15.048572,103756.289062,16.167028,110.796875,0.000000
05390,1,1.000000,0.003926,0.015651,0.514492,0.254726,15.062306,103850.984375,16.130405,110.789062,0.000000
05889,1,1.000000,0.003926,0.015651,0.514492,0.254726,15.062306,103850.984375,16.130405,110.789062,0.000000
06388,1,1.000000,0.004926,0.015448,0.515042,0.264382,15.076040,103945.671875,16.120149,110.789062,0.000000
06887,1,1.000000,0.004926,0.015448,0.515042,0.264382,15.076040,103945.671875,16.120149,110.789062,0.000000
07386,1,1.000000,0.005963,0.015144,0.515866,0.278866,15.096640,104087.710937,16.101106,110.773437,0.000000
07885,1,1.000000,0.005963,0.015144,0.515866,0.278866,15.096640,104087.710937,16.101106,110.773437,0.000000
08384,1,1.000000,0.006925,0.015042,0.516140,0.283693,15.103507,104135.054687,16.093782,110.781250,0.000000
