Time[ms],#Mission,TargetDepth[m],PistonPosition[m],PIDoutput,Pressure[V],MeasuredDepth[m],Psi,Pascal,Battery[V],Temperature,MotionData
400.00,1,4.000000,-0.000000,0.055000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
899.00,1,4.000000,-0.000000,0.055000,0.000000,0.001000,0.000000,0.000000,0.000000,0.000000,0.000000
1398.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.267926,0.000000,0.000000
1897.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.267926,0.000000,0.000000
2396.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.267926,22.289062,0.000000
2895.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.267926,22.289062,0.000000
3394.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.272321,22.296875,0.000000
3893.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.272321,22.296875,0.000000
4392.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.266461,22.289062,0.000000
4891.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.266461,22.289062,0.000000
5390.00,1,4.000000,-0.000000,0.055000,0.018155,-8.469277,2.653864,18297.753906,13.270856,22.289062,0.000000
5889.00,1,4.000000,-0.000000,0.055000,0.017056,-8.488589,2.626396,18108.371093,13.269392,22.289062,0.000000
6388.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.262066,22.296875,0.000000
6887.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.262066,22.296875,0.000000
7386.00,1,4.000000,-0.000000,0.055000,0.017056,-8.488589,2.626396,18108.371093,13.260602,22.296875,0.000000
7885.00,1,4.000000,-0.000000,0.055000,0.017056,-8.488589,2.626396,18108.371093,13.260602,22.296875,0.000000
8384.00,1,4.000000,-0.000000,0.055000,0.015957,-8.507901,2.598929,17918.990234,13.259137,22.289062,0.000000
8883.00,1,4.000000,-0.000000,0.055000,0.015957,-8.507901,2.598929,17918.990234,13.259137,22.289062,0.000000
9382.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.263531,22.289062,0.000000
9881.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.263531,22.289062,0.000000
10379.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.269392,22.296875,0.000000
10878.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.269392,22.296875,0.000000
11376.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.267926,22.296875,0.000000
11876.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.267926,22.296875,0.000000
12375.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.263531,22.289062,0.000000
12874.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.263531,22.289062,0.000000
13373.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.264996,22.289062,0.000000
13872.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.264996,22.289062,0.000000
14371.00,1,4.000000,-0.000000,0.055000,0.017056,-8.488589,2.626396,18108.371093,13.264996,22.296875,0.000000
14870.00,1,4.000000,-0.000000,0.055000,0.017056,-8.488589,2.626396,18108.371093,13.264996,22.296875,0.000000
15369.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.267926,22.296875,0.000000
15868.00,1,4.000000,-0.000000,0.055000,0.015957,-8.507901,2.598929,17918.990234,13.256207,22.296875,0.000000
16367.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.262066,22.289062,0.000000
16866.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.262066,22.289062,0.000000
17365.00,1,4.000000,-0.000000,0.055000,0.018155,-8.469277,2.653864,18297.753906,13.270856,22.289062,0.000000
17864.00,1,4.000000,-0.000000,0.055000,0.018155,-8.469277,2.653864,18297.753906,13.270856,22.289062,0.000000
18363.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.264996,22.289062,0.000000
18862.00,1,4.000000,-0.000000,0.055000,0.017331,-8.483761,2.633263,18155.716796,13.264996,22.289062,0.000000
19361.00,1,4.000000,-0.000000,0.055000,0.018155,-8.469277,2.653864,18297.753906,13.273786,22.296875,0.000000
19861.00,1,4.000000,-0.000000,0.055000,0.018155,-8.469277,2.653864,18297.753906,13.273786,22.296875,0.000000
20360.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.273786,22.289062,0.000000
20859.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.273786,22.289062,0.000000
21358.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.273786,22.289062,0.000000
21857.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.273786,22.289062,0.000000
22356.00,1,4.000000,-0.000000,0.055000,0.018155,-8.469277,2.653864,18297.753906,13.270856,22.289062,0.000000
22855.00,1,4.000000,-0.000000,0.055000,0.018155,-8.469277,2.653864,18297.753906,13.270856,22.289062,0.000000
23354.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.270856,22.296875,0.000000
23853.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.270856,22.296875,0.000000
24351.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.267926,22.289062,0.000000
24850.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.267926,22.289062,0.000000
25349.00,1,4.000000,-0.000000,0.055000,0.016232,-8.503072,2.605796,17966.335937,13.264996,22.296875,0.000000
25848.00,1,4.000000,-0.000000,0.055000,0.017605,-8.478933,2.640130,18203.062500,13.272321,22.296875,0.000000
26346.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.267926,22.289062,0.000000
26845.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.267926,22.289062,0.000000
27344.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.266461,22.296875,0.000000
27843.00,1,4.000000,-0.000000,0.055000,0.017880,-8.474105,2.646997,18250.408203,13.266461,22.296875,0.000000
28342.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.263531,22.296875,0.000000
28841.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.263531,22.296875,0.000000
29340.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.269392,22.289062,0.000000
29839.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.269392,22.289062,0.000000
30338.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.260602,22.289062,0.000000
30837.00,1,4.000000,-0.000000,0.055000,0.016781,-8.493417,2.619529,18061.027343,13.260602,22.289062,0.000000
31336.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.270856,22.289062,0.000000
31835.00,1,4.000000,-0.000000,0.055000,0.016507,-8.498245,2.612663,18013.681640,13.270856,22.289062,0.000000
